Year, WaitList, LivingTrans, DeceasedTrans, Deceased, Removed
0,30992,1584,3130,2547,2442
1,31924,1665,3240,2555,2649
2,32780,1634,3175,2567,2791
3,33368,1649,3168,2662,2930
4,33845,1630,3307,2682,2931
5,34127,1710,3282,2709,4032
6,34346,1658,3258,2855,3992
7,34781,1639,3163,2703,4009
8,34903,1710,3268,2747,4131
9,34999,1705,3242,2801,4105
10,35082,1768,3223,5242,5215
11,35217,1760,3195,5306,5161
12,35280,1700,3294,5180,5276
13,35340,1754,3202,5212,5321
14,35283,1783,3150,5479,5236
